fold,prediction,reference
1,حضور دروس السكري,حضور دروس التعريف بداء السكري
1,"لا تستخدم هذا الدواء بعد تاريخ انتهاء الصلاحية المذكور على العلبة الكرتونية بعد كلمة ""EXP"".",لا تستخدم هذا الدواء بعد تاريخ انتهاء الصلاحية المدون على العبوة الكرتونية بعد الرمز EXP.
1,لا ينبغي استعمال ميرينا إذا كنتِ حاملاً أو تعتقدين أنكِ قد تكونين حاملاً.,يجب عدم استخدام ميرينا إذا كنت حاملا أو تشتبهين أن تكونين حاملاً.
1,إذا ظهرت عليك أية آثار جانبية، فتحدث إلى طبيبك أو الصيدلي.,إذا زادت حدة أي من هذه الأعراض الجانبية، أو لاحظت ظهور أعراض جانبية غير ما تم ذكره في هذه النشرة، يرجى إبلاغ الطبيب المعالج أو الصيدلي.
1,مرض الزهايمر,مرض الزهايمر
1,تحدثي إلى طبيبك حول وسيلة منع الحمل الأفضل لك.,تحدثي مع طبيبك حول أفضل وسيلة لمنع الحمل بالنسبة لك.
1,يتم إجراء هذا الفحص للتحقق من:,يجري هذا الفحص للكشف على:
1,خذ العبوة وأي أقراص متبقية معك لإخبار الطبيب.,خذ معك علبة الدواء وأى أقراص متبقیة لتعرضھا على طبیبك المعالج.
1,إذا كنت تعاني من الحساسية (فرط الحساسية) لأملوديبين أو لأي من المكونات الأخرى لهذا الدواء المذكورة في القسم 6، أو لأي مضادات أخرى للكالسيوم.,إذا كنت أرجياً (مفرط التحسّس) لأملوديبين أو لإحدى المواد المستخدمة في تركيبة لوفاسك أو أي من مضادات كالسيوم الأخرى.
1,الصداع.,صداع.
1,إعطاء الكثير من السوائل لمنع الجفاف، الذي قد يكون خطيراً.,قدم للمريض الكثير من السوائل لمنع حدوث الجفاف الذي قد يمثل خطورة.
1,تحدث إلى طبيبك عن تناول مكملات فيتامين د إذا كان التعرض لأشعة الشمس منخفضًا.,تحدثي إلى الطبيب حول تناول مكملات فيتامين د إذا ما كان تعرضك للشمس أقل.
1,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,(انظر التحديثات من منظمة الصحة العالمية).
1,تساقط الشعر، طفح جلدي مع ظهور لونه فضي أبيض (طفح جلدي صدفي) أو تفاقم الصدفي، طفح جلدي.,تساقط الشعر وطفح جلدي مع ظهور لون أبيض فضي (طفح جلدي صدفي) أو تفاقم في حالات الصدفية، طفح جلدي.
1,فقط قم بإزالة الغطاء من الأنبوب عندما تكون جاهزاً لاستخدام الدواء.,إنزع الغطاء فقط عندما تكون مستعد لاستخدام هذا الدواء.
1,تناول أدوية أخرى، أعشاب أو مكملات غذائية,التداخلات الدوائية مع الأدوية الأخرى أو الأعشاب أوالمكملات الغذ ائية
1,يجب تخفيف فينتوليب مع ملح طبيعي عند إعطائه عن طريق التسريب الوريدي.,يجب تخفيف فينتوليب مع محلول ملحي عند إعطائه وريديًا.
1,إذا كنتِ قد عانيتِ من أي وقت مضى من اضطراب حدث لأول مرة أثناء الحمل أو استخدامه في السابق للهرمونات الجنسية، مثل صعوبة السمع، مرض بالدم يسمى البرفيريا، طفح جلدي من نوع البثور أثناء الحمل (الھربس الحملي)، اضطراب عصبي يحدث فيه حركات مفاجئة لا إرادية بالجسم (كوريا سيدنهام),إذا كنت قد عانيتي في أي وقت مضى من اضطراب حدث لأول مرة أثناء الحمل أو تناولت في الماضي هرمونات جنسية، على سبيل المثال صعوبة السمع، مرض في الدم يسمى البورفيريا، فقاعة صغيرة على الجلد - من أنواع الطفح الجلدي تحدث أثناء الحمل (هربس الحمل)، اضطراب للأعصاب يسبب حركات مفاجأة غير إرادية للجسم ، (رقص سيدنهام)
1,فينيتوين (يستخدم في الصرع).,فينيتوين (يستعمل في الصرع).
1,سوف تساعد هذه الإجراءات على حماية البيئة.,وسوف تساعد هذه التدابير على حماية البيئة.
1,يُعد علاج الاكتئاب أو القلق بشكل صحيح مهمًا للمساعدة على تحسن حالتك.,من الممكن أن يكون علاج الاكتئاب أو القلق مهم لمساعدتك لكي تصبح في حال أفضل.
1,التالي هي الجرعة المعتادة للبالغين لمنع العدوى أثناء إجراءات طب الأسنان والجراحة الأخرى:,التالية هي جرعات البالغين المعتادة لمنع العدوى أثناء إجراءات طب الأسنان والجراحات الأخرى
1,قد تظهر اضطرابات الأيض، الدم والوعاء الدموي مثل فقدان الوزن، النقرس، ارتفاع مستوى السكر في الدم، النزيف، الجلطات والكدمات، تغير في ضغط الدم، عدم انتظام ضربات القلب وتوسع الأوعية الدموية.,اضطرابات الأيض، الدم و الأوعية الدموية مثل فقدان الوزن، النقرس، ارتفاع مستوى السكر في الدم، نزيف، جلطات و كدمات، تغير في ضغط الدم، قد يتم ملاحظة حدوث اضطراب في نبضات القلب و توسع في الأوعية الدموية.
1,هلوسات.,هلوسات.
1,سوف تساعد هذه الإجراءات على حماية البيئة,سوف تساعد هذه الاجراءات على حماية البيئة.
1,إذا نسيت تناول جرعة، تناولها حال تذكرك، إلا إذا كانت خلال ساعة من الجرعة التالية، ثم استمر في تناولها كالمعتاد.,إذا كنت قد نسيت أن تأخذ جرعة، خذها حالما تتذكر، إلا إذا كان في غضون ساعة من تناول الجرعة التالية، فلا تاخذها وانتظر الجرعة القادمة
1,في بعض الحالات، قد لا يكون النزيف واضحاً.,في بعض الحالات ، قد لا يكون النزيف واضحًا.
1,سيتم قطع عظمة الصدر وتمدد الضلوع لرؤية قلبك.,ويتم قطع عظم الصدر والمباعدة بين ضلوعك لرؤية قلبك.
1,سوف يخبرك طبيب الأسنان لماذا تُعالج بعقار ميديكاين %3,سوف يشرح لك طبيب الأسنان سبب علاجك بميديكاين 3% .
1,قرص واحد، مرتين يومياً بالإضافة إلى قرصين من المضادات الحيوية سواء أموكسيسيلين، كلاريثرومايسين أو مترونيدازول (أو تينيدازول)، كل قرص يتم تناوله مرتين يومياً مع أقراص بانتوبرازول.,قرص واحد مرتين يومياً بالإضافة إلى قرصين من المضادات الحيوية يومياً إما أموكسيسيلين وكلاريثروميسين وميترونيدازول (أو تينيدازول)، يتم أخذ كل واحد منهما مرتين يومياً مع قرص بانتوبرازول.
1,تورم الوجه، الشفتين، اليدين أو الأصابع,تورم الوجه، الشفاه، اليدين أو الأصابع
1,الجرعة الأولية المعتادة هي لوتنس ٥ ملجم مرة واحدة يومياً.,الجرعة الابتدائية المعتادة من لوتنس هي 5 ملجم مرة واحدة يومياً.
1,تحتوي الأجزاء الصلبة على الدواء - فلا تمضغها أو تسحقها.,القطع الصلبة تحتوي على الدواء-لا تمضغها او تسحقها
1,الربو,داء الربو
