en,ar,fold
hear or feel a snap or pop in a tendon area,سماع صوت طقطقة أو قرقعة أو الشعور به في منطقة الوتر.,3
"Patients who have taken more Laprix tablets than they should, have experienced the following symptoms:",حصلت الأعراض التالية عند المرضى الذين تناولوا أقراص لابريكس أكثر مما يجب:,5
are taking erythromycin with 'statins' such as simvastatin or lovastatin (used to lower cholesterol) as serious side effects can occur.,"يتم اخذ الايرثرومايسين مع ""الستاتين"" مثل سيمفاستاتين أو لوفاستاتين (التي تستخدم لخفض نسبة الكوليسترول) يمكن لآثار جانبية خطيرة أن تحدث",2
Always take Lonzet capsules exactly as your doctor has told you.,دائماً تناول كبسولات لونزت تماماً كما أخبرك الطبيب.,3
if you have (or have ever had) a type of migraine called ‘migraine with aura’;,إذا كنتِ تعانين (أو عانيت في أيّ وقت مضى) من نوع من الصداع النصفي يسمى 'الصداع النصفي مع الهالة'؛,4
Sensations of numbness in the mouth (oral hypoaesthesia),أحساس بالتخدر في الفم (نقص الحس عن طريق الفم),3
It crosses the placenta and may depress the vital functions of the newborn.,فهو يعبر المشيمة وقد يتسبب في تثبيط الوظائف الحيوية لدى حديثي الولادة.,2
To use the enema:,لاستخدام الحقنة الشرجية:,3
"Do not clean a cat litter box, or bird or reptile cages.",تجنبي تنظيف صندوق فضلات القطط أو أقفاص الطيور أو الزواحف.,5
Check with your doctor or pharmacist if you are not sure.,يجب مراجعة المعالج أو الصيدلي إذا كنت غير متأكد.,4
CC_BY-SA_3.0,يُستخدم حاليًّا الهيبارين منخفض الوزن الجزيئي بشكل واسع لعلاج المرضى وهو ما يتطلب من الوكالة الإيطالية للأدوية نشر توجيهات حول استخدامه.,3
Talk to your family and friends about your problems.,تحدث مع عائلتك وأصدقائك عن مشاكلك.,4
The light from these devices can make it harder for your to fall asleep.,حيث إن الإضاءة المنبعثة من هذه الأجهزة قد تجعل من الصعب عليك النوم.,3
Keep the side rails on your bed up.,دعي القضبان الجانبية للفراش مرفوعة.,5
"Ibuprofen (Advil, Motrin) and acetaminophen (Tylenol) are options.",يعتبر الإيبوبروفين (أدفيل، موترين) وأسيتامينوفين (تايلينول) من الخيارات الجيدة.,5
CC BY 4.0,ارتفعت مستويات إنزيمات الكبد والعضلات والميوغلوبين في دم بعض المرضى، وتزايد البروتين المتفاعل C ومعدل تثقُّل الكُريَّات الحمر في دم أغلب المرضى.,2
Hematoma,الورم الدموي,4
Your incisions come apart or you start bleeding.,تشقق الجروح أو شروعها في النزيف.,4
"If any of these get serious, or if you notice any side effects  not listed in this leaflet, please tell your doctor or pharmacist.",يرجى مراجعة طبيبك أو الصيدلي إذا ساءت أية من هذه الآثار الجانبية أو لاحظت ظهور أية آثار جانبية غير مدرجة في هذه النشرة.,2
If you are breastfeeding.,الإرضاع،,4
Mitoxantron “EBEWE” is used in combination with other medicinal products in this indication;,"يُستَخدَم عقار ميتوكسانترون ""إيبيفيه"" بمصاحبة منتجات دوائية أخرى للدَّواعي التَّالية:",5
you have ever had a severe allergic reaction to egg protein;,إذا كنت قد تعرضت في أي وقت سابق للإصابة بحساسية شديدة لبروتين البيض؛,5
"In special cases, and under medical super vision the dosage may be increased to 5 ± 6 tablets/day.",في حالات خاصة ، وتحت المراقبة الطبية الفائقة ، يمكن زيادة الجرعة إلى 5-6 أقراص / يوم.,4
Attending diabetes classes,حضور دروس التعريف بداء السكري,1
"The capsule should be swallowed whole with a glass of water, to ensure delivery to the stomach.",يجب بلع الكبسولة كاملةً بكوب من الماء للتأكد من الوصول الى المعدة.,3
Taking off the sling,خلع الحاملة,3
Call your doctor for more instructions.,اتصل بطبيبك للحصول على مزيد من الإرشادات.,5
Put the crutches on the lower step while putting your injured foot forward.,ضع العكازين على الدرجة الأسفل أثناء وضع قدمك المصابة إلى الأمام.,3
Do not bend your knee deep enough to cause pain.,لا تثني الركبة بشكل كبير بحيث تسبب لك الألم.,4
Do not use this medicine after the expiry date which is stated on the carton after EXP.,لا تستخدم هذا الدواء بعد تاريخ انتهاء الصلاحية المدون على العبوة الكرتونية بعد الرمز EXP.,1
Mirena must not be used if you are pregnant or think you may be pregnant.,يجب عدم استخدام ميرينا إذا كنت حاملا أو تشتبهين أن تكونين حاملاً.,1
Swallow your tablets whole with half a glass of water.,ابتلع القرص كاملاً مع نصف كوب من الماء.,2
"If you get any side effects, talk to your doctor or pharmacist.",إذا زادت حدة أي من هذه الأعراض الجانبية، أو لاحظت ظهور أعراض جانبية غير ما تم ذكره في هذه النشرة، يرجى إبلاغ الطبيب المعالج أو الصيدلي.,1
CC_BY-SA_3.0,ينطبق هذا بشكل خاص على الآباء ذوي التعليم والموارد المحدودة.,3
Decrease in vision or pain in your eyes due to high pressure (possible signs of fluid accumulation in the vascular layer of the eye (choroidal effusion) or acute angle-closure glaucoma).,انخفاض في الرؤية أو ألم في عينيك بسبب ارتفاع الضغط (علامات محتملة لتراكم السوائل في الطبقة الوعائية للعين (انصباب المشيمية) أو زرق (جلوكوما) حاد مغلق الزاوية (من أنواع ارتفاع ضغط العين).,5
If you are under the age of 18 or over the age of 65s,إذا كان عمرك یقل عن ۱۸ عاماً أو أكثر من ٦٥ عاماً.,4
Severe abdominal cramps or pain that gets worse over time,تقلصات شديدة في البطن أو ألم يزداد سوءًا بمرور الوقت,4
